Name,Type,Tags,Description,Social Reach,Est. People Impacted,Scale,URL,Image,Interdependence,Polarization,Holistic Knowledge,Cultural Isolation,
Californians For Justice,Education,Youth | Leadership | Education,"Californians for Justice believes that young people are the leaders we need to create the healthy, just and vibrant schools all of our communities deserve. ",6074,5000,Regional,http://caljustice.org/,,,,,,
Coleman Advocates for Youth,Education,Youth  | Education  | Housing,"Coleman Advocates believes that all children and families deserve access to high quality education, living wage jobs, family-supporting benefits, affordable housing, and a voice in the decisions that affect us. ",6228,5000,,http://colemanadvocates.org/,https://colemanadvocates.org/wp-content/uploads/2017/04/logo_coleman.png,,,,,
Diversity Council,Education,Diversity,"To educate people to embrace diversity as a foundation for building a healthy, inclusive and prosperous community.",2941,5000,,http://www.diversitycouncil.org/,"https://static.wixstatic.com/media/585763_35119c056834412595b7d0a9e46437d6.jpg/v1/fill/w_420,h_68,al_c,q_80/585763_35119c056834412595b7d0a9e46437d6.webp",,,,,
Eastern Educational Resource Center,Education,Anti-Bias,"Eastern Educational Resource Collaborative's (East Ed's) mission is to serve as a resource to schools, colleges, families and agencies and support the establishment of equitable, anti-bias, multicultural environments.",2,10,,"http://www.easted.org/our-mission
",https://static.wixstatic.com/media/772cc2_3ef9b163c9144028a5c63032ad43e1d7.gif,,,,,
Education for Liberation Network,Education,Injustice,"The Education for Liberation Network is a national coalition of teachers, community activists, researchers, youth and parents who believe a good education should teach people—particularly low-income youth and youth of color—how to understand and challenge the injustices their communities face. The network aims to help improve the practice of Education for Liberation by bringing people together to learn from each other’s experiences. The network provides a space for members to share knowledge and work together to create tools for liberatory education. By building alliances that cross the boundaries of geography, occupation and age we hope to nurture communities of thoughtful, socially-engaged people and to maximize the impact of their work.",7822,10000,,http://www.edliberation.org/,http://www.edliberation.org/logo.png,,,,,
Educators' Network for Social Justice Milwaukee,Education,Injustice,"We are an organization of educators including classroom teachers, teacher educators, and community activists, who strive for educational justice",2531,2500,,http://ensj.weebly.com/,https://scontent.fmnl3-2.fna.fbcdn.net/v/t1.0-9/1000870_535687276496466_2088862075_n.jpg?_nc_cat=0&oh=1b177fd477a7162ae583266293db66e5&oe=5BD789F1,,,,,
Educolor,Education,Public Schools  | Equiity,EduColor seeks to elevate the voices of public school advocates of color on educational equity and justice.,17360,20000,,http://www.educolor.org/,http://www.educolor.org/wp-content/uploads/2016/10/educolor-logo2.png,,,,,
Fellowship for Race and Equity in Education,Education,Inclusion,"Our mission is to support individuals and institutions as they take on our most intractable race, equity, diversity, and inclusion (REDI) problems, accelerating our transition toward a more liberatory, community-centered society that values the gifts and potential of all of its members.",1801,2000,,http://raceandequityineducation.org/,https://static1.squarespace.com/static/597e1cb4d2b8570b18cf4c83/t/5aaabafb03ce64b54c975b30/1521138442942/Brand-mark-C.png,,,,,
"Free Minds, Free People",Education,Education,"Free Minds, Free People is a national conference that brings together teachers, young people, researchers, parents and community-based activists/educators from across the country to build a movement to develop and promote education as a tool for liberation.",1339,1500,,http://fmfp.org/,http://fmfp.org/wp-content/themes/fmfp-2013/images/site-login-logo.png,,,,,
Gay Lesbian and Straight Education Network,Education,LGBTQ,Every day GLSEN works to ensure that LGBTQ students are able to learn and grow in a school environment free from bullying and harassment.,1144296,1000000,,http://www.glsen.org/,https://www.glsen.org/sites/default/files/GLSEN_logo.jpg,,,,,
Global Glimpse,Education,Intercultural | Education,"Inspire America's next generation to become responsible global citizens through leadership, community service and immersion in the developing world.",11313,100000,,https://globalglimpse.org/,https://globalglimpse.org/wp-content/uploads/2016/11/logo.png,,,,,
Mosaic Project,Education,Peace | Diversity | Education,"We work toward a peaceful future by uniting children of diverse backgrounds, providing them with essential community building skills, and empowering them to become peacemakers.",5162,5000,,http://www.mosaicproject.org/,https://mosaicproject.org/MPimages/headerMPLogo.png,,,,,
New York Collective of Radical Educators,Education,Anti-Racist | Education,"New York Collective of Radical Educators (NYCoRE) is a group of current and former public school educators and their allies committed to fighting for social justice in our school system and society at large, by organizing and mobilizing teachers, developing curriculum, and working with community, parent, and student organizations.",23467,25000,,http://www.nycore.org/,http://www.nycore.org/wp-content/uploads/2017/12/cropped-top3-1-768x160.jpg,,,,,
Not in Our School,Education,Conflict resolution,"Not in Our School's mission is to stop hate, adress bullying, and build safe, inclusive communities for all.",47731,50000,,https://www.niot.org/nios,https://scontent.fmnl3-2.fna.fbcdn.net/v/t1.0-9/421472_10151056448054579_2101245755_n.jpg?_nc_cat=0&oh=2852ec464b29a7b07ff253f1ef8e5a59&oe=5BEC1E60,,,,,
NYCLU Teen Activist Project,Education,Education | Civil discourse,The New York Civil Liberties Union (NYCLU) is one of the nation's foremost defenders of civil liberties and civil rights.,137985,150000,,http://www.nyclu.org/issues/youth-and-student-rights/teen-activist-project,https://www.nyclu.org/sites/default/files/field_site_logo/nyclu_reduced_logos_color_bck.png,,,,,
One Nation Indivisible,Education,Education,"One Nation Indivisible harnesses the power of storytelling and strategic organizing to support and celebrate people struggling to create, sustain and improve racially, culturally, linguistically and socioeconomically integrated schools, communities, workplaces and social institutions.",1156,1500,,http://www.onenationindivisible.org/,https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-9/376835_133857596722214_1330531071_n.jpg?_nc_cat=0&oh=b15b7fc9b9cd62a242e7690dda0dda2b&oe=5BCD795A,,,,,
Partners Against Hate,Education,Anti-Racist,"Partners Against Hate was a collaborative project of the Anti-Defamation League, The Leadership Conference Education Fund, and the Center for Preventing Hate, which offered promising education and counteraction strategies for young people and the wide range of community-based professionals who work and interact with youth, including parents, law enforcement officials, educators, and community/business leaders.",0,0,,http://www.partnersagainsthate.org/,http://www.partnersagainsthate.org/assets/images/fromga/pah_logo_bottom.gif,,,,,
Pillars of Peace Hawaii,Education,Education | Inclusion | Peace building,"We hope to inspire people--from keiki (children) to kupuna (elders)--to cultivate compassion, mindfulness and justice in their daily lives and better understand the roles of diversity and culture in the practice of peace.",2774,2500,,https://pillarsofpeace.hawaiicommunityfoundation.org,https://pillarsofpeace.hawaiicommunityfoundation.org/image/logo.png,,,,,
Project S.E.E.D,Education,Education | STEM,"S.E.E.D. participants build a close knit community to explore their experiences and expand their understanding of social identity, power, oppression, privilege, and diversity.",6580,7000,,http://neutral-zone.org/s-e-e-d/,http://neutral-zone.org/wp/wp-content/uploads/2014/04/logo2.png,,,,,
Radical Math,Education,Education | STEM,RadicalMath is a resource for educators interested in integrating issues of social and economic justice into their math classes and curriculum.,0,,,http://www.radicalmath.org/,http://www.radicalmath.org/images/rmlogo.gif,,,,,
Rethinking Schools,Education,Education,"Rethinking Schools began as a local effort to address problems such as basal readers, standardized testing, and textbook-dominated curriculum.",174263,175000,,https://www.rethinkingschools.org/index.shtml,https://www.rethinkingschools.org/assets/renew/logo-b8de7f57366ad616f2794f30188dbc2ec1d5e27e57c086432650e32489c0e458.png,,,,,
Stand for Children,Education,Education | Advocacy,"Stand for Children's mission is to ensure that all children, regardless of their background, graduate from high school prepared for, and with access to, a college education.",13990.725,1400,,http://stand.org/,http://standleadershipcenter.org/sites/all/themes/slc_main/img/Stand_National_Logo_Cyan.png,,,,,
Teachers 4 Social Justice,Education,Education | Immigration,"Our mission is to provide opportunities for self-transformation, leadership, and community building to educators in order to affect meaningful change in the classroom, school, community and society.",7908,8000,,https://t4sj.org/links/,https://scontent.fmnl3-2.fna.fbcdn.net/v/t31.0-8/12132409_883693355019625_300189002944705544_o.jpg?_nc_cat=0&oh=3bfb2a14703188e821a608b9d6b85fc3&oe=5BE4EA77,,,,,
Teachers For Social Justice,Education,Education | Social justice,"Teachers for Social Justice (TSJ) is an organization of teachers, administrators, pre-service teachers, and other educators working in public, independent, alternative, and charter schools and universities in the Chicago area that have come together based on their commitment to education for social justice.",8663,9000,,http://www.teachersforjustice.org/,http://1.bp.blogspot.com/_b854pmrK1Ro/SzKi5ZibeFI/AAAAAAAABFs/Lfqcsahl1uc/S1600-R/tsjheaderfinal.png,,,,,
Teaching for Change,Education,Education | Social justice,"Teaching for Change provides teachers and parents with the tools to create schools where students learn to read, write and change the world.",107146,108000,,http://www.teachingforchange.org/,https://cvlassets.s3.amazonaws.com/Unknown.png,,,,,
Teaching Tolerance (SPLC),Education,Inclusion | Equity,"Teaching Tolerance provides free resources to educators—teachers, administrators, counselors and other practitioners—who work with children from kindergarten through high school.",652572,650000,,http://www.tolerance.org/,https://splcatnortheastern.files.wordpress.com/2015/09/ttlogo.jpg,,,,,
Understanding Prejudice,Education,Anti-prejudice,"The purpose of the site is to offer educational resources and information on prejudice, discrimination, multiculturalism, and diversity, with the ultimate goal of reducing the level of intolerance and bias in contemporary society.",17455,20000,,http://www.understandingprejudice.org/,http://www.understandingprejudice.org/images/logotp.gif,,,,,
Until We are All Free,Education,Racial justice,"Launched in 2015, UNTIL WE ARE ALL FREE is an unprecedented collaboration between CultureStrike, Mobilize the Immigrant Vote, and Black Alliance for Just Immigration, responding to the call from Black leaders for immigrant and refugee rights advocates to boldly address racial justice and show up for Black lives.",0,0,,http://www.untilweareallfree.com/#declaration-of-unity-intro,https://cvlassets.s3.amazonaws.com/Unknown.jpeg,,,,,
We Unify,Education,Community building,"WeUnify is about bringing unlikeminded people together because it’s fun, and our democracy needs it.",692,500,,http://weunify.org/,https://weunify.org/images/logo.png,,,,,
Youth Together,Education,Community building | Racial Justice,"Grounded in our commitment to peace, unity and justice, the mission of Youth Together is to address the root causes of educational inequities by developing multiracial youth leaders and engaging school community allies to promote positive school change.",5468,5000,,http://www.youthtogether.net/unity/about-2/vision-mission-values/,http://www.youthtogether.net/wp-content/uploads/2017/09/cropped-YT-Main-Logo@2x.png,,,,,
"YWCA Metropolitan Chicago Racial Justice, Equity and Inclusion Project",Education,Racial justice | Equity | Inclusion,"YWCA is dedicated to eliminating racism, empowering women and promoting peace, justice, freedom and dignity for all.",10733,10000,,http://ywcachicago.org/racial-justice/,https://ywcachicago.org/wp-content/uploads/2016/03/YWCAMC-Logo-Small.png,,,,,
YWCA Columbus,Education,Gender equality,"YWCA is dedicated to eliminating racism, empowering women and promoting peace, justice, freedom and dignity for all.",10037.515,10000,,http://www.ywcacolumbus.org/site/PageServer?pagename=services_racialjustice,http://osteopathicheritage.org/Uploads/Images/NewsImages/ywca.jpg,,,,,
YWCA Madison,Education,Gender equality,"YWCA Madison works every day to eliminate racism and empower women, through programs in race & gender equity, job training & transportation, and housing & shelter, we create real change for women, families and communities.",6643,5000,,http://www.ywcamadison.org/site/c.cuIWLiO0JqI8E/b.7968025/k.6E89/Racial_Justice_Summit.htm,http://ywcamadison.org/wp-content/uploads/2017/03/ywcaLogo.png,,,,,
YWCA York,Education,Gender equality,"YWCA YORK IS DEDICATED TO ELIMINATING RACISM, EMPOWERING WOMEN, STRENGTHENING FAMILIES AND PROMOTING PEACE, JUSTICE, FREEDOM AND DIGNITY FOR ALL.",6041,5000,,,http://www.ywcayork.org/atf/cf/%7B161D0FAE-F2CA-4CA3-97E5-D01CF5508097%7D/logo_YWCA_int.png,,,,,
Zinn Education Project,Education,Education | Social justice,The Zinn Education Project promotes and supports the teaching of people’s history in classrooms across the country.,573294,500000,,https://zinnedproject.org/,https://www.zinnedproject.org/wp-content/uploads/2018/01/logo.svg,,,,,
Impact Justice,Politics,Restorative justice | Racial Justice,"Impact Justice is committed to fostering a more humane, responsive, and restorative system of justice in our nation.",3104,5000,,impactjustice.org,https://bjatta.bja.ojp.gov/sites/default/files/IJ%20Logo%202016-10-31.JPG,,,,,
Ben Franklin Circles,Community,Building community,"The Ben Franklin Circles (BFC) is a collaborative project of 92nd Street Y (92Y), the Hoover Institution, and Citizen University that reflects a shared commitment to fostering civic participation, open dialogue, and ethics-based leadership.",1777,2000,,http://benfranklincircles.org/,https://benfranklincircles.org/wp-content/themes/bfcircles/images/logo.png,,,,,
Better Angels,Politics,Bipartisan | Democracy,"By bringing red and blue Americans together into a working alliance, we’re building new ways to talk to one another, participate together in public life, and influence the direction of the nation.",11854,12000,,https://better-angels.org/,https://images.typeform.com/images/RQ3XgeSqiMwJ/image/default,,,,,
Beyond Differences,Education,Education | Social inclusion,Inspire students at all middle schools nationwide to end social isolation and create a culture of belonging for everyone,56402,60000,,https://www.beyonddifferences.org/,https://www.beyonddifferences.org/media/images/logo.png,,,,,
Campus Compact,Education,Community building | Education,Campus Compact advances the public purposes of colleges and universities by deepening their ability to improve community life and to educate students for civic and social responsibility,4477.307,5000,,https://compact.org/fund-positive-engagement/,https://compact.wpengine.com/wp-content/uploads/2015/03/logo-5.png,,,,,
Citizen University,Civics,Systems thinking | Democracy,"Citizen University is a national platform for fostering responsible and empowered citizenship through activation, communication, and education.",24175,25000,,http://www.citizenuniversity.us/programs/civic-saturday/,http://www.citizenuniversity.us/wp-content/themes/citizenu/images/logo_header_v2.png,,,,,
Encore.org,Education,Education | Leadership,The decades of life beyond 50 become a time of social contribution and impact — and we leave the world better than we found it.,86584,90000,,https://encore.org/,https://upsocial.org/sites/default/files/logos/logo-encore.jpg,,,,,
Essential partners,Community,Dialogue | Community building,"Our Mission: To foster constructive dialogue where conflicts are driven by differences in identity, beliefs & values.",9899,10000,,http://www.whatisessential.org/,https://www.whatisessential.org/sites/all/themes/at_panels_everywhere/css/images/PCP-logo-header.png,,,,,
Generation Citizen,Education,Education | Democracy,"GENERATION CITIZEN (GC) WORKS TO ENSURE THAT EVERY STUDENT IN THE UNITED STATES RECEIVES AN EFFECTIVE ACTION CIVICS EDUCATION, WHICH PROVIDES THEM WITH THE KNOWLEDGE AND SKILLS NECESSARY TO PARTICIPATE IN OUR DEMOCRACY AS ACTIVE CITIZENS.",9433,10000,,https://generationcitizen.org/,https://generationcitizen.org/wp-content/uploads/2016/03/Untitled-1.png,,,,,
Heterodox Academy,Education,Political diversity,"OpenMind is a free, interactive, psychology-based platform designed to foster intellectual humility, empathy, and mutual understanding across a variety of differences.",36020,40000,,https://openmindplatform.org/,https://openmindplatform.org/wp-content/uploads/2018/06/OpenMind_smaller.png,,,,,
Interfaith Youth Core,Religion,Religion | Interfaith,"A national non-profit organization working towards an America where people of different faiths, worldviews, and traditions can bridge differences and find common values to build a shared life together.",37635,40000,,https://www.ifyc.org/,https://scontent.fmnl3-2.fna.fbcdn.net/v/t1.0-9/21192868_10155703574624553_4662285167238131078_n.png?_nc_cat=0&oh=335c6eca375af6a59cb5c336146ecd1f&oe=5BD32A32,,,,,
Narrative4,Community,Political diversity | Mutual understanding,"Our work - rooted in the N4 story exchange - equips people to use their stories to build empathy, shatter stereotypes, break down barriers, and - ultimately - make the world a better place.",9896,10000,,https://narrative4.com/,https://lh3.googleusercontent.com/uUlaY3QlFjUz0A2YfPQGWBanDG7hgBmxkMpw2X3zlu_RtwOnrqnx_qLZm5rXARh_6u0J-A=s170,,,,,
National Institute for Civil Discourse,Politics,Gun violence | Dialogue,"The National Institute for Civil Discourse integrates research, practice and policy to support and engage:   Elected officials who are capable of working to solve the big issues facing our country. A public that demands civil discourse as well as government that works in the best interests of the country as a whole.  A media that informs citizens in a fair and responsible way.",52159,31720,,http://nicd.arizona.edu/,https://scontent.fmnl3-2.fna.fbcdn.net/v/t1.0-9/1012663_541800299189348_908363269_n.jpg?_nc_cat=0&oh=21060c133932d17d3629529182132750&oe=5BDD6465,,,,,
One America Movement,Service,Racial justice,"The One America Movement’s mission is to build bridges and solve problems by bringing Americans together across racial, religious, political and geographic divides to address pressing social problems – poverty, opioids, racial tension and more.",31197,22965,,http://werepair.org/oneamerica/,https://werepair.org/wp-content/uploads/2017/08/logo1-1.png,,,,,
People's supper,Community,Dialogue,"We aim to repair the breach in our interpersonal relationships across political, ideological, and identity differences, leading to more civil discourse.",4923,4091,,https://thepeoplessupper.org/,https://static1.squarespace.com/static/595e51dbd1758e528030285b/t/595e81929f74566aa7201b58/1531860428790/?format=1500w,,,,,
Resetting the table,Community,Political and community building,Resetting the Table is dedicated to building meaningful dialogue and deliberation across political and communal divides.,3584,3504,,http://www.resettingthetable.org/,http://www.resettingthetable.org/wp-content/uploads/2017/12/logo.png,,,,,
Seeds of Peace,Education,Leadership development,We inspire and cultivate new generations of global leaders in communities divided by conflict.,421006.503,421050,,https://www.seedsofpeace.org/,https://www.seedsofpeace.org/wp-content/uploads/2016/02/new-logo.png,,,,,
Sisterhood of Salaam Shalom,Interfaith,Building bridges | Anti-prejudice,"We grow relationships between Muslim and Jewish women to build bridges and fight hate, negative stereotyping and prejudice.",7437,6449,,https://sosspeace.org/,http://www.mejditours.com/wp-content/uploads/2015/03/SisterhoodofSD25aR03aP13ZL-Arthur3a.jpg,,,,,
Spaceship Media,Media,Journalism,"Reducing polarization, building communities, restoring trust in media.",2355,1705,,http://spaceshipmedia.org/the-many,http://spaceshipmedia.org/wp-content/uploads/2018/01/Kaylee_LOGO-FLAT-COLOR-1-e1516500688272.png,,,,,
StoryCorps,Media,Storytelling,StoryCorps’ mission is to preserve and share humanity’s stories in order to build connections between people and create a more just and compassionate world.,1044251,980263,,https://storycorps.org/,https://cvlassets.s3.amazonaws.com/download-3.png,,,,,
Streetlaw,Education,Law | Justice,"Street Law, Inc. advances justice through classroom and community education programs that empower people with the legal and civic knowledge, skills, and confidence to bring about positive change for themselves and others.",5148,3619,,https://www.streetlaw.org/,http://streetlaw.org/Custom/Core/Images/logo-text-b.svg,,,,,
Village Square,Politics,Politics,"We are dedicated to maintaining factual accuracy in civic and political debate by growing civil discourse on divisive issues, and recalling the history and principles at the foundation of our democracy.",6032,4904,,https://tlh.villagesquare.us/,https://tlh.villagesquare.us/img/Village-Square-website-header.png,,,,,
